Date,Investment,Adj Close,Units Purchased
2018-07-27,0.0,37336.8515625,0.0
2018-07-28,0.0,37494.3984375,0.0
2018-07-29,0.0,37494.3984375,0.0
2018-07-30,0.0,37494.3984375,0.0
2018-07-31,0.0,37606.578125,0.0
2018-08-01,0.0,37521.62109375,0.0
2018-08-02,0.0,37165.16015625,0.0
2018-08-03,0.0,37556.16015625,0.0
2018-08-04,0.0,37691.890625,0.0
2018-08-05,0.0,37691.890625,0.0
2018-08-06,30000.0,37691.890625,0.7959271743217312
2018-08-07,0.0,37665.80078125,0.0
2018-08-08,0.0,37887.55859375,0.0
2018-08-09,0.0,38024.37109375,0.0
2018-08-10,0.0,37869.23046875,0.0
2018-08-11,0.0,37644.8984375,0.0
2018-08-12,0.0,37644.8984375,0.0
2018-08-13,0.0,37644.8984375,0.0
2018-08-14,0.0,37852.0,0.0
2018-08-15,0.0,37663.55859375,0.0
2018-08-16,0.0,37663.55859375,0.0
2018-08-17,0.0,37947.87890625,0.0
2018-08-18,0.0,38278.75,0.0
2018-08-19,0.0,38278.75,0.0
2018-08-20,0.0,38278.75,0.0
2018-08-21,0.0,38285.75,0.0
2018-08-22,0.0,38336.76171875,0.0
2018-08-23,0.0,38336.76171875,0.0
2018-08-24,0.0,38251.80078125,0.0
2018-08-25,0.0,38694.109375,0.0
2018-08-26,0.0,38694.109375,0.0
2018-08-27,0.0,38694.109375,0.0
2018-08-28,0.0,38896.62890625,0.0
2018-08-29,0.0,38722.9296875,0.0
2018-08-30,0.0,38690.1015625,0.0
2018-08-31,0.0,38645.0703125,0.0
2018-09-01,0.0,38312.51953125,0.0
2018-09-02,0.0,38312.51953125,0.0
2018-09-03,0.0,38312.51953125,0.0
2018-09-04,30000.0,38157.921875,0.7862063373963548
2018-09-05,0.0,38018.30859375,0.0
2018-09-06,0.0,38242.80859375,0.0
2018-09-07,0.0,38389.8203125,0.0
2018-09-08,0.0,37922.171875,0.0
2018-09-09,0.0,37922.171875,0.0
2018-09-10,0.0,37922.171875,0.0
2018-09-11,0.0,37413.12890625,0.0
2018-09-12,0.0,37717.9609375,0.0
2018-09-13,0.0,38090.640625,0.0
2018-09-14,0.0,38090.640625,0.0
2018-09-15,0.0,37585.51171875,0.0
2018-09-16,0.0,37585.51171875,0.0
2018-09-17,0.0,37585.51171875,0.0
2018-09-18,0.0,37290.671875,0.0
2018-09-19,0.0,37121.21875,0.0
2018-09-20,0.0,36841.6015625,0.0
2018-09-21,0.0,36841.6015625,0.0
2018-09-22,0.0,36305.01953125,0.0
2018-09-23,0.0,36305.01953125,0.0
2018-09-24,0.0,36305.01953125,0.0
2018-09-25,0.0,36652.05859375,0.0
2018-09-26,0.0,36542.26953125,0.0
2018-09-27,0.0,36324.171875,0.0
2018-09-28,0.0,36227.140625,0.0
2018-09-29,0.0,36526.140625,0.0
2018-09-30,0.0,36526.140625,0.0
2018-10-01,0.0,36526.140625,0.0
2018-10-02,0.0,35975.62890625,0.0
2018-10-03,0.0,35975.62890625,0.0
2018-10-04,30000.0,35169.16015625,0.8530200854019718
2018-10-05,0.0,34376.98828125,0.0
2018-10-06,0.0,34474.37890625,0.0
2018-10-07,0.0,34474.37890625,0.0
2018-10-08,0.0,34474.37890625,0.0
2018-10-09,0.0,34299.46875,0.0
2018-10-10,0.0,34760.890625,0.0
2018-10-11,0.0,34001.1484375,0.0
2018-10-12,0.0,34733.578125,0.0
2018-10-13,0.0,34865.1015625,0.0
2018-10-14,0.0,34865.1015625,0.0
2018-10-15,0.0,34865.1015625,0.0
2018-10-16,0.0,35162.48046875,0.0
2018-10-17,0.0,34779.578125,0.0
2018-10-18,0.0,34315.62890625,0.0
